Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
838.149,523.221,531547,714,76,1.2775e+06,93555,107669,78011.2,3.50875e+08,8,152.625,638,0,0,0,0,566.201,566.581,566.659,531.017,2.55501e+06,187110,215338,156022,7.0175e+08,988.588,7.04863e+08
807.201,285.434,512133,743,57,1.32812e+06,102819,115019,84264.4,3.50919e+08,8.0625,115.375,686,0,0,0,0,310,310.3,310.346,290.777,2.65624e+06,205639,230038,168529,7.01838e+08,950.267,7.05098e+08
780.485,570.196,501444,768,90,1.37561e+06,100693,115912,83975.6,3.55825e+08,8.0625,181.625,678,0,0,0,0,616.653,617.054,617.13,578.323,2.75121e+06,201386,231823,167951,7.1165e+08,932.206,7.15002e+08
770.104,337.577,527057,778,70,1.3927e+06,106161,119692,87418.1,3.78972e+08,9,140.75,708,0,0,0,0,365.713,366.012,366.062,343.022,2.7854e+06,212321,239383,174836,7.57945e+08,979.867,7.61357e+08
840.414,195.295,523238,713,43,1.27451e+06,100389,111331,81841.9,3.43609e+08,8,86.3125,670,0,0,0,0,212.061,212.362,212.413,198.965,2.54902e+06,200779,222662,163684,6.87217e+08,969.597,6.90353e+08
903.314,133.769,536900,664,33,1.18434e+06,94921.9,104362,76981.9,3.2829e+08,6.25,66.125,631,0,0,0,0,145.623,145.85,145.924,136.665,2.36868e+06,189844,208723,153964,6.56579e+08,994.722,6.59501e+08
776.23,361.444,512895,772,69,1.37772e+06,104338,118027,86090.6,3.64774e+08,9.1875,139,703,0,0,0,0,392.728,393.037,393.077,368.349,2.75544e+06,208676,236053,172181,7.29547e+08,950.609,7.32919e+08
797.349,283.022,500953,753,64,1.34517e+06,102212,115426,84249.4,3.47765e+08,6.125,128.25,689,0,0,0,0,307.068,307.396,307.439,288.034,2.69034e+06,204424,230852,168499,6.95531e+08,929.288,6.98825e+08
833.928,388.547,529012,719,60,1.2851e+06,97655.6,110276,80491.9,3.51553e+08,8,120.375,659,0,0,0,0,421.396,421.781,421.858,395.271,2.57021e+06,195311,220553,160984,7.03106e+08,983.64,7.06253e+08
797.011,337.206,532373,753,57,1.34779e+06,103731,116383,85164.4,3.70158e+08,8.0625,114.125,696,0,0,0,0,365.366,365.645,365.691,342.686,2.69558e+06,207461,232766,170329,7.40315e+08,988.858,7.43621e+08
800.232,286.345,519086,748,67,1.33629e+06,101908,114870,83904.4,3.58167e+08,8.0625,135.5,681,0,0,0,0,310.947,311.309,311.35,291.693,2.67258e+06,203816,229740,167809,7.16334e+08,963.33,7.19608e+08
