Node ID,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,EXT_INV Received Bytes,EXT_INV Sent Bytes,EXT_GET_HEADERS Received Bytes,EXT_GET_HEADERS Sent Bytes,EXT_HEADERS Received Bytes,EXT_HEADERS Sent Bytes,EXT_GET_DATA Received Bytes,EXT_GET_DATA Sent Bytes,Chunk Received Bytes,Chunk Sent Bytes,Longest Fork,Blocks in Forks,Connections,Block Timeouts,Chunk Timeouts,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
0,474.108,0.49445,591767,8,0,1,2,1659.38,618341,0.289,0,9750,13000,4860,810,875,5250,3900,650,2906135,18552930,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.37148e-319,0,1.08349e-320,4.65284e-310
1,474.175,0.603571,591767,8,0,1,1,672.045,865446,0.196,0,11700,12870,2430,972,1050,2625,1950,780,3277461,12983040,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,4.65284e-310,4.65284e-310
2,474.166,0.581302,591767,8,0,1,1,2044.07,890809,0.159,0,11700,12870,2430,972,1050,2625,1950,780,3252098,13363485,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,4.65284e-310,4.65284e-310
3,474.254,0.767157,591767,8,0,1,0,0,0,0.133,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,4.65284e-310,4.65284e-310
4,474.157,0.661276,591767,8,0,1,0,0,0,0.066,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,4.65284e-310,4.65284e-310
5,474.28,0.861256,591767,8,0,1,0,0,0,0.054,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,4.65284e-310,4.65284e-310
6,474.228,0.629464,591767,8,0,1,1,731.756,450510,0.029,0,11700,12870,2430,972,1050,2625,1950,780,3692397,6759000,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,4.65284e-310,4.65284e-310
7,474.219,0.617822,591767,8,0,1,0,0,0,0.016,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,1.12252e-320,2.37152e-322
8,474.316,0.913282,591767,8,0,1,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5.80398e+180,3.94646e+180,2.59441e+161,2.35174e+251
9,474.307,0.861477,591767,8,0,1,0,0,0,0.012,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8.78414e+247,2.64686e+180,4.73224e+164,9.08356e-307
10,474.289,0.881896,591767,8,0,1,1,306.25,133903,0.012,0,11700,12870,2430,972,1050,2625,1950,780,4009004,2009895,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1.50617e+161,1.46923e+195,4.41622e+257,1.1725e+166
11,474.237,0.649353,591767,8,0,1,0,0,0,0.009,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.788e+209,2.17898e+68,1.14489e+243,9.5355e-307
12,474.271,0.825426,591767,8,0,1,1,1158.58,565017,0.005,0,11700,12870,2430,972,1050,2625,1950,780,3577890,8476605,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3.1711e+180,3.99728e+252,4.09073e+87,4.71592e+257
13,474.298,0.81477,591767,8,0,1,0,0,0,0.005,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3.87842e-321,4.65284e-310,4.65284e-310
14,474.263,0.784292,591767,8,0,1,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,4.65284e-310,2.96439e-323
15,474.325,1.01187,591767,8,0,1,0,0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,4142997,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.65284e-310,4.65284e-310,2.37152e-321,2.37152e-322
